;MV1_Singlecell_C;MV2_Singlecell_R;MV3_Singlecell_N;MV4_Cellgroups_C;MV5_Cellgroups_R;MV6_Cellgroups_N;Average_Cellgroups;Average_Singlecell;Average_C;Average_R;Average_N
Cre16.g694207.v5.5;11;3;8;3;1;1;1,666666667;7,333333333;7;2;4,5
Cre16.g694208.v5.5;200;57;78;83;45;54;60,66666667;111,6666667;141,5;51;66
Cre16.g694250.v5.5;124;9;26;9;9;23;13,66666667;53;66,5;9;24,5
Cre16.g694300.v5.5;68;0;9;0;10;12;7,333333333;25,66666667;34;5;10,5
Cre16.g694400.v5.5;70;44;30;39;31;19;29,66666667;48;54,5;37,5;24,5
Cre16.g694402.v5.5;70;18;38;60;37;43;46,66666667;42;65;27,5;40,5
Cre16.g694403.v5.5;33;31;52;50;31;94;58,33333333;38,66666667;41,5;31;73
Cre16.g694450.v5.5;244;347;475;622;357;542;507;355,3333333;433;352;508,5
Cre16.g694500.v5.5;24;125;137;45;36;37;39,33333333;95,33333333;34,5;80,5;87
Cre16.g694550.v5.5;807;8;27;30;25;72;42,33333333;280,6666667;418,5;16,5;49,5
Cre16.g694700.v5.5;8;4;3;14;3;2;6,333333333;5;11;3,5;2,5
Cre16.g694703.v5.5;8;1;4;4;6;17;9;4,333333333;6;3,5;10,5
Cre16.g694704.v5.5;30;5;19;12;3;13;9,333333333;18;21;4;16
Cre16.g694750.v5.5;66;25;54;36;38;31;35;48,33333333;51;31,5;42,5
Cre16.g694800.v5.5;44;12;23;25;21;15;20,33333333;26,33333333;34,5;16,5;19
Cre16.g694809.v5.5;4;0;0;104;94;170;122,6666667;1,333333333;54;47;85
Cre16.g694850.v5.5;529;345;510;162;98;207;155,6666667;461,3333333;345,5;221,5;358,5
Cre16.g694900.v5.5;22;9;23;16;12;24;17,33333333;18;19;10,5;23,5
Cre16.g694942.v5.5;0;23;55;9;3;21;11;26;4,5;13;38
Cre16.g694950.v5.5;319;187;114;396;280;616;430,6666667;206,6666667;357,5;233,5;365
Cre16.g695050.v5.5;1448;1460;1968;1020;770;845;878,3333333;1625,333333;1234;1115;1406,5
Cre16.g695100.v5.5;619;470;511;274;101;111;162;533,3333333;446,5;285,5;311
Cre16.g695150.v5.5;3;0;0;0;0;0;0;1;1,5;0;0
Cre16.g695200.v5.5;22;3;10;4;6;6;5,333333333;11,66666667;13;4,5;8
Cre16.g695202.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre16.g695218.v5.5;57;6;3;13;9;6;9,333333333;22;35;7,5;4,5
Cre16.g695250.v5.5;8;0;0;0;0;0;0;2,666666667;4;0;0
Cre16.g695300.v5.5;235;102;130;128;76;150;118;155,6666667;181,5;89;140
Cre16.g695350.v5.5;42;35;56;44;41;44;43;44,33333333;43;38;50
Cre16.g695400.v5.5;125;37;76;44;23;33;33,33333333;79,33333333;84,5;30;54,5
Cre16.g695450.v5.5;634;209;546;207;136;271;204,6666667;463;420,5;172,5;408,5
Cre16.g695500.v5.5;108;29;44;25;34;22;27;60,33333333;66,5;31,5;33
Cre16.g695550.v5.5;119;25;74;29;44;58;43,66666667;72,66666667;74;34,5;66
Cre16.g695600.v5.5;29;8;19;8;7;26;13,66666667;18,66666667;18,5;7,5;22,5
Cre16.g695650.v5.5;375;106;59;176;112;141;143;180;275,5;109;100
Cre16.g695700.v5.5;370;296;166;260;112;308;226,6666667;277,3333333;315;204;237
Cre16.g695800.v5.5;255;103;144;115;117;151;127,6666667;167,3333333;185;110;147,5
Cre16.g695850.v5.5;349;173;207;109;82;53;81,33333333;243;229;127,5;130
Cre16.g695851.v5.5;9;1;0;0;1;1;0,666666667;3,333333333;4,5;1;0,5
Cre16.g695900.v5.5;165;33;41;11;10;18;13;79,66666667;88;21,5;29,5
Cre16.g695950.v5.5;522;304;663;1216;840;1181;1079;496,3333333;869;572;922
Cre16.g696000.v5.5;356;201;329;179;90;185;151,3333333;295,3333333;267,5;145,5;257
Cre16.g696050.v5.5;226;165;124;224;121;159;168;171,6666667;225;143;141,5
Cre17.g692564.v5.5;4;2;5;3;2;4;3;3,666666667;3,5;2;4,5
Cre17.g692676.v5.5;2;4;10;2;1;9;4;5,333333333;2;2,5;9,5
Cre17.g696200.v5.5;173;175;184;96;117;168;127;177,3333333;134,5;146;176
Cre17.g696250.v5.5;2375;988;2169;2180;993;2160;1777,666667;1844;2277,5;990,5;2164,5
Cre17.g696300.v5.5;233;124;227;299;170;400;289,6666667;194,6666667;266;147;313,5
Cre17.g696350.v5.5;67;122;63;82;65;101;82,66666667;84;74,5;93,5;82
Cre17.g696400.v5.5;258;391;574;861;517;1089;822,3333333;407,6666667;559,5;454;831,5
Cre17.g696450.v5.5;634;501;752;799;525;892;738,6666667;629;716,5;513;822
Cre17.g696500.v5.5;568;97;178;425;546;1264;745;281;496,5;321,5;721
Cre17.g696550.v5.5;234;78;173;126;112;182;140;161,6666667;180;95;177,5
Cre17.g696600.v5.5;249;112;143;149;99;105;117,6666667;168;199;105,5;124
Cre17.g696626.v5.5;1;0;2;1;0;1;0,666666667;1;1;0;1,5
Cre17.g696650.v5.5;93;83;71;67;56;60;61;82,33333333;80;69,5;65,5
Cre17.g696700.v5.5;1485;190;219;363;466;776;535;631,3333333;924;328;497,5
Cre17.g696750.v5.5;559;266;555;615;287;432;444,6666667;460;587;276,5;493,5
Cre17.g696800.v5.5;14;6;4;7;18;27;17,33333333;8;10,5;12;15,5
Cre17.g696850.v5.5;1595;1596;1671;809;630;794;744,3333333;1620,666667;1202;1113;1232,5
Cre17.g696900.v5.5;166;97;104;207;118;164;163;122,3333333;186,5;107,5;134
Cre17.g696950.v5.5;241;77;253;398;241;409;349,3333333;190,3333333;319,5;159;331
Cre17.g697000.v5.5;382;343;363;384;237;312;311;362,6666667;383;290;337,5
Cre17.g697050.v5.5;99;67;69;108;69;154;110,3333333;78,33333333;103,5;68;111,5
Cre17.g697150.v5.5;933;747;1096;515;327;553;465;925,3333333;724;537;824,5
Cre17.g697200.v5.5;4;7;2;0;7;8;5;4,333333333;2;7;5
Cre17.g697250.v5.5;8;1;1;9;3;15;9;3,333333333;8,5;2;8
Cre17.g697300.v5.5;806;45;109;601;276;428;435;320;703,5;160,5;268,5
Cre17.g697334.v5.5;119;99;183;64;69;123;85,33333333;133,6666667;91,5;84;153
Cre17.g697350.v5.5;69;42;66;51;39;64;51,33333333;59;60;40,5;65
Cre17.g697406.v5.5;893;225;885;970;535;1073;859,3333333;667,6666667;931,5;380;979
Cre17.g697450.v5.5;661;293;556;734;366;724;608;503,3333333;697,5;329,5;640
Cre17.g697500.v5.5;120;25;26;64;99;87;83,33333333;57;92;62;56,5
Cre17.g697550.v5.5;69;43;90;154;96;189;146,3333333;67,33333333;111,5;69,5;139,5
Cre17.g697600.v5.5;87;11;52;33;23;65;40,33333333;50;60;17;58,5
Cre17.g697624.v5.5;91;31;86;85;34;114;77,66666667;69,33333333;88;32,5;100
Cre17.g697650.v5.5;184;109;112;130;125;168;141;135;157;117;140
Cre17.g697701.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g697750.v5.5;0;1;1;2;2;7;3,666666667;0,666666667;1;1,5;4
Cre17.g697800.v5.5;47;32;32;46;48;140;78;37;46,5;40;86
Cre17.g697850.v5.5;14;16;25;36;20;33;29,66666667;18,33333333;25;18;29
Cre17.g697900.v5.5;33;17;40;15;8;16;13;30;24;12,5;28
Cre17.g697934.v5.5;3;6;15;4;4;7;5;8;3,5;5;11
Cre17.g697950.v5.5;298;93;269;142;79;203;141,3333333;220;220;86;236
Cre17.g698000.v5.5;6817;3975;6060;3664;3277;3830;3590,333333;5617,333333;5240,5;3626;4945
Cre17.g698100.v5.5;186;88;103;185;116;233;178;125,6666667;185,5;102;168
Cre17.g698150.v5.5;166;47;168;196;118;227;180,3333333;127;181;82,5;197,5
Cre17.g698200.v5.5;40;27;27;13;24;27;21,33333333;31,33333333;26,5;25,5;27
Cre17.g698233.v5.5;406;24;51;29;27;15;23,66666667;160,3333333;217,5;25,5;33
Cre17.g698266.v5.5;8;1;13;9;3;7;6,333333333;7,333333333;8,5;2;10
Cre17.g698299.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g698332.v5.5;0;2;0;0;0;0;0;0,666666667;0;1;0
Cre17.g698365.v5.5;331;195;80;233;126;170;176,3333333;202;282;160,5;125
Cre17.g698400.v5.5;640;824;1153;577;568;845;663,3333333;872,3333333;608,5;696;999
Cre17.g698450.v5.5;123;122;153;97;56;87;80;132,6666667;110;89;120
Cre17.g698500.v5.5;22;13;46;25;7;43;25;27;23,5;10;44,5
Cre17.g698516.v5.5;17;10;11;40;31;50;40,33333333;12,66666667;28,5;20,5;30,5
Cre17.g698532.v5.5;610;554;698;749;468;699;638,6666667;620,6666667;679,5;511;698,5
Cre17.g698550.v5.5;106;4;5;20;10;20;16,66666667;38,33333333;63;7;12,5
Cre17.g698600.v5.5;4;6;44;24;14;38;25,33333333;18;14;10;41
Cre17.g698650.v5.5;266;11;0;3;1;5;3;92,33333333;134,5;6;2,5
Cre17.g698683.v5.5;3;1;3;7;3;10;6,666666667;2,333333333;5;2;6,5
Cre17.g698700.v5.5;188;110;176;427;344;421;397,3333333;158;307,5;227;298,5
Cre17.g698750.v5.5;85;35;70;45;48;32;41,66666667;63,33333333;65;41,5;51
Cre17.g698800.v5.5;154;87;209;301;207;399;302,3333333;150;227,5;147;304
Cre17.g698850.v5.5;34;3;15;28;7;18;17,66666667;17,33333333;31;5;16,5
Cre17.g698900.v5.5;13;0;1;0;0;2;0,666666667;4,666666667;6,5;0;1,5
Cre17.g698903.v5.5;217;27;57;128;27;70;75;100,3333333;172,5;27;63,5
Cre17.g698950.v5.5;54;16;33;33;14;23;23,33333333;34,33333333;43,5;15;28
Cre17.g699000.v5.5;607;134;189;172;105;69;115,3333333;310;389,5;119,5;129
Cre17.g699050.v5.5;159;61;65;81;54;61;65,33333333;95;120;57,5;63
Cre17.g699100.v5.5;472;261;427;326;121;227;224,6666667;386,6666667;399;191;327
Cre17.g699150.v5.5;127;49;109;60;34;67;53,66666667;95;93,5;41,5;88
Cre17.g699200.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g699250.v5.5;237;5;29;33;15;19;22,33333333;90,33333333;135;10;24
Cre17.g699300.v5.5;130;48;57;54;41;44;46,33333333;78,33333333;92;44,5;50,5
Cre17.g699350.v5.5;154;26;28;23;8;35;22;69,33333333;88,5;17;31,5
Cre17.g699400.v5.5;98;19;13;22;13;65;33,33333333;43,33333333;60;16;39
Cre17.g699450.v5.5;0;0;0;1;0;0;0,333333333;0;0,5;0;0
Cre17.g699500.v5.5;201;75;64;102;68;94;88;113,3333333;151,5;71,5;79
Cre17.g699550.v5.5;358;23;62;34;24;27;28,33333333;147,6666667;196;23,5;44,5
Cre17.g699600.v5.5;168;75;167;260;152;184;198,6666667;136,6666667;214;113,5;175,5
Cre17.g699650.v5.5;70;8;46;45;38;89;57,33333333;41,33333333;57,5;23;67,5
Cre17.g699700.v5.5;295;49;73;110;65;93;89,33333333;139;202,5;57;83
Cre17.g699750.v5.5;858;7;21;200;79;68;115,6666667;295,3333333;529;43;44,5
Cre17.g699776.v5.5;0;0;0;0;0;1;0,333333333;0;0;0;0,5
Cre17.g699800.v5.5;38;1;2;1;8;8;5,666666667;13,66666667;19,5;4,5;5
Cre17.g699850.v5.5;0;1;0;0;0;0;0;0,333333333;0;0,5;0
Cre17.g699900.v5.5;39;18;14;8;7;8;7,666666667;23,66666667;23,5;12,5;11
Cre17.g699926.v5.5;1;1;0;1;0;0;0,333333333;0,666666667;1;0,5;0
Cre17.g699950.v5.5;5;1;0;0;4;4;2,666666667;2;2,5;2,5;2
Cre17.g699975.v5.5;0;0;1;1;0;2;1;0,333333333;0,5;0;1,5
Cre17.g700000.v5.5;81;10;27;13;10;14;12,33333333;39,33333333;47;10;20,5
Cre17.g700050.v5.5;39;11;11;29;26;28;27,66666667;20,33333333;34;18,5;19,5
Cre17.g700100.v5.5;61;98;94;91;43;88;74;84,33333333;76;70,5;91
Cre17.g700133.v5.5;462;301;254;568;334;606;502,6666667;339;515;317,5;430
Cre17.g700166.v5.5;259;105;95;110;52;92;84,66666667;153;184,5;78,5;93,5
Cre17.g700200.v5.5;355;199;79;161;94;167;140,6666667;211;258;146,5;123
Cre17.g700250.v5.5;74;23;44;74;33;29;45,33333333;47;74;28;36,5
Cre17.g700300.v5.5;105;40;64;46;37;58;47;69,66666667;75,5;38,5;61
Cre17.g700425.v5.5;631;223;197;503;428;252;394,3333333;350,3333333;567;325,5;224,5
Cre17.g700450.v5.5;5527;2742;3265;3454;2251;2057;2587,333333;3844,666667;4490,5;2496,5;2661
Cre17.g700500.v5.5;128;55;76;66;66;106;79,33333333;86,33333333;97;60,5;91
Cre17.g700550.v5.5;12;12;13;3;4;5;4;12,33333333;7,5;8;9
Cre17.g700600.v5.5;1;4;12;2;1;1;1,333333333;5,666666667;1,5;2,5;6,5
Cre17.g700650.v5.5;1131;749;681;640;464;494;532,6666667;853,6666667;885,5;606,5;587,5
Cre17.g700700.v5.5;362;166;418;202;78;136;138,6666667;315,3333333;282;122;277
Cre17.g700750.v5.5;3177;1863;4628;1947;829;1114;1296,666667;3222,666667;2562;1346;2871
Cre17.g700800.v5.5;259;0;4;0;0;2;0,666666667;87,66666667;129,5;0;3
Cre17.g700850.v5.5;3;6;3;1;4;10;5;4;2;5;6,5
Cre17.g700900.v5.5;48;25;52;32;34;37;34,33333333;41,66666667;40;29,5;44,5
Cre17.g700950.v5.5;0;0;7;0;0;0;0;2,333333333;0;0;3,5
Cre17.g701000.v5.5;267;203;337;227;148;273;216;269;247;175,5;305
Cre17.g701050.v5.5;292;180;602;1024;465;742;743,6666667;358;658;322,5;672
Cre17.g701100.v5.5;21;10;14;17;3;3;7,666666667;15;19;6,5;8,5
Cre17.g701150.v5.5;43;5;8;27;20;6;17,66666667;18,66666667;35;12,5;7
Cre17.g701200.v5.5;31449;23755;31782;28945;21014;23105;24354,66667;28995,33333;30197;22384,5;27443,5
Cre17.g701250.v5.5;934;561;245;493;265;590;449,3333333;580;713,5;413;417,5
Cre17.g701300.v5.5;725;335;550;428;226;379;344,3333333;536,6666667;576,5;280,5;464,5
Cre17.g701350.v5.5;12;1;2;3;3;5;3,666666667;5;7,5;2;3,5
Cre17.g701400.v5.5;13;0;0;0;1;1;0,666666667;4,333333333;6,5;0,5;0,5
Cre17.g701450.v5.5;35;5;29;90;72;131;97,66666667;23;62,5;38,5;80
Cre17.g701500.v5.5;981;514;899;608;356;996;653,3333333;798;794,5;435;947,5
Cre17.g701551.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g701600.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g701650.v5.5;21643;19254;22553;24863;18355;22036;21751,33333;21150;23253;18804,5;22294,5
Cre17.g701700.v5.5;493;990;1182;948;666;732;782;888,3333333;720,5;828;957
Cre17.g701751.v5.5;3;9;7;0;4;14;6;6,333333333;1,5;6,5;10,5
Cre17.g701800.v5.5;69;26;27;16;11;22;16,33333333;40,66666667;42,5;18,5;24,5
Cre17.g701809.v5.5;216;84;99;78;69;97;81,33333333;133;147;76,5;98
Cre17.g701850.v5.5;0;1;0;3;0;0;1;0,333333333;1,5;0,5;0
Cre17.g701884.v5.5;0;1;0;0;0;0;0;0,333333333;0;0,5;0
Cre17.g701917.v5.5;3;7;14;45;22;8;25;8;24;14,5;11
Cre17.g701950.v5.5;0;1;0;0;0;0;0;0,333333333;0;0,5;0
Cre17.g702002.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g702052.v5.5;0;1;0;1;0;0;0,333333333;0,333333333;0,5;0,5;0
Cre17.g702102.v5.5;0;4;0;0;0;0;0;1,333333333;0;2;0
Cre17.g702150.v5.5;214;369;452;295;225;302;274;345;254,5;297;377
Cre17.g702200.v5.5;106;41;45;67;13;47;42,33333333;64;86,5;27;46
Cre17.g702250.v5.5;212;58;102;99;48;101;82,66666667;124;155,5;53;101,5
Cre17.g702300.v5.5;35;13;28;17;13;30;20;25,33333333;26;13;29
Cre17.g702351.v5.5;55;5;9;7;5;5;5,666666667;23;31;5;7
Cre17.g702400.v5.5;39;8;11;13;11;33;19;19,33333333;26;9,5;22
Cre17.g702451.v5.5;17;3;3;0;0;0;0;7,666666667;8,5;1,5;1,5
Cre17.g702500.v5.5;343;511;623;279;268;445;330,6666667;492,3333333;311;389,5;534
Cre17.g702550.v5.5;199;140;170;222;136;239;199;169,6666667;210,5;138;204,5
Cre17.g702576.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g702600.v5.5;109;3;20;54;27;47;42,66666667;44;81,5;15;33,5
Cre17.g702650.v5.5;129;38;83;38;47;25;36,66666667;83,33333333;83,5;42,5;54
Cre17.g702700.v5.5;72;17;18;21;24;24;23;35,66666667;46,5;20,5;21
Cre17.g702750.v5.5;116;17;23;32;5;11;16;52;74;11;17
Cre17.g702800.v5.5;37;16;10;11;14;18;14,33333333;21;24;15;14
Cre17.g702850.v5.5;309;123;155;178;121;178;159;195,6666667;243,5;122;166,5
Cre17.g702900.v5.5;141;32;54;82;35;54;57;75,66666667;111,5;33,5;54
Cre17.g702950.v5.5;351;192;372;198;76;113;129;305;274,5;134;242,5
Cre17.g702976.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g703000.v5.5;4;1;3;3;0;6;3;2,666666667;3,5;0,5;4,5
Cre17.g703050.v5.5;128;13;18;48;11;24;27,66666667;53;88;12;21
Cre17.g703075.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g703101.v5.5;137;0;0;0;0;0;0;45,66666667;68,5;0;0
Cre17.g703126.v5.5;92;0;0;0;0;0;0;30,66666667;46;0;0
Cre17.g703151.v5.5;1;0;0;0;0;0;0;0,333333333;0,5;0;0
Cre17.g703176.v5.5;0;0;0;0;0;1;0,333333333;0;0;0;0,5
Cre17.g703200.v5.5;223;9;38;50;16;25;30,33333333;90;136,5;12,5;31,5
Cre17.g703250.v5.5;154;11;13;19;10;3;10,66666667;59,33333333;86,5;10,5;8
Cre17.g703300.v5.5;28;0;0;0;0;0;0;9,333333333;14;0;0
Cre17.g703350.v5.5;92;2;1;4;0;2;2;31,66666667;48;1;1,5
Cre17.g703400.v5.5;227;8;14;11;9;15;11,66666667;83;119;8,5;14,5
Cre17.g703450.v5.5;129;15;41;7;20;10;12,33333333;61,66666667;68;17,5;25,5
Cre17.g703473.v5.5;0;2;0;0;2;5;2,333333333;0,666666667;0;2;2,5
Cre17.g703495.v5.5;116;10;16;18;7;49;24,66666667;47,33333333;67;8,5;32,5
Cre17.g703550.v5.5;92;9;11;4;4;3;3,666666667;37,33333333;48;6,5;7
Cre17.g703600.v5.5;151;6;22;39;28;42;36,33333333;59,66666667;95;17;32
Cre17.g703650.v5.5;3;0;0;0;0;0;0;1;1,5;0;0
Cre17.g703700.v5.5;671;130;157;81;43;33;52,33333333;319,3333333;376;86,5;95
Cre17.g703750.v5.5;393;75;157;69;54;202;108,3333333;208,3333333;231;64,5;179,5
Cre17.g703800.v5.5;1640;517;9;4;24;0;9,333333333;722;822;270,5;4,5
Cre17.g703850.v5.5;3839;1970;1188;2377;1447;2253;2025,666667;2332,333333;3108;1708,5;1720,5
Cre17.g703900.v5.5;1429;842;447;858;541;710;703;906;1143,5;691,5;578,5
Cre17.g703932.v5.5;3;5;5;3;3;3;3;4,333333333;3;4;4
Cre17.g703950.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g703976.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g704000.v5.5;0;1;1;5;0;1;2;0,666666667;2,5;0,5;1
Cre17.g704050.v5.5;119;32;35;37;25;24;28,66666667;62;78;28,5;29,5
Cre17.g704100.v5.5;333;9;6;15;7;8;10;116;174;8;7
Cre17.g704150.v5.5;112;26;37;33;31;43;35,66666667;58,33333333;72,5;28,5;40
Cre17.g704200.v5.5;513;676;1355;668;564;1267;833;848;590,5;620;1311
Cre17.g704251.v5.5;231;217;279;541;379;816;578,6666667;242,3333333;386;298;547,5
Cre17.g704300.v5.5;745;395;301;657;341;356;451,3333333;480,3333333;701;368;328,5
Cre17.g704350.v5.5;51;20;46;38;18;51;35,66666667;39;44,5;19;48,5
Cre17.g704400.v5.5;98;44;134;56;27;36;39,66666667;92;77;35,5;85
Cre17.g704450.v5.5;82;66;83;75;59;62;65,33333333;77;78,5;62,5;72,5
Cre17.g704500.v5.5;33;19;28;23;17;27;22,33333333;26,66666667;28;18;27,5
Cre17.g704550.v5.5;88;33;50;44;23;40;35,66666667;57;66;28;45
Cre17.g704600.v5.5;444;272;281;226;220;277;241;332,3333333;335;246;279
Cre17.g704650.v5.5;16;12;19;16;4;25;15;15,66666667;16;8;22
Cre17.g704700.v5.5;72;1;4;4;2;16;7,333333333;25,66666667;38;1,5;10
Cre17.g704750.v5.5;101;69;73;102;107;107;105,3333333;81;101,5;88;90
Cre17.g704802.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g704850.v5.5;704;501;343;449;227;451;375,6666667;516;576,5;364;397
Cre17.g704901.v5.5;101;66;120;103;67;79;83;95,66666667;102;66,5;99,5
Cre17.g704950.v5.5;42;6;0;5;11;3;6,333333333;16;23,5;8,5;1,5
Cre17.g705000.v5.5;2088;803;1067;875;556;585;672;1319,333333;1481,5;679,5;826
Cre17.g705050.v5.5;14;0;1;5;1;3;3;5;9,5;0,5;2
Cre17.g705100.v5.5;226;44;24;21;2;32;18,33333333;98;123,5;23;28
Cre17.g705150.v5.5;23;1;3;4;6;6;5,333333333;9;13,5;3,5;4,5
Cre17.g705200.v5.5;863;245;386;649;332;494;491,6666667;498;756;288,5;440
Cre17.g705250.v5.5;116;11;9;21;17;25;21;45,33333333;68,5;14;17
Cre17.g705300.v5.5;1854;87;186;258;209;473;313,3333333;709;1056;148;329,5
Cre17.g705316.v5.5;0;0;0;0;0;1;0,333333333;0;0;0;0,5
Cre17.g705350.v5.5;397;116;272;245;169;255;223;261,6666667;321;142,5;263,5
Cre17.g705400.v5.5;577;332;493;552;411;768;577;467,3333333;564,5;371,5;630,5
Cre17.g705450.v5.5;59;166;130;43;26;32;33,66666667;118,3333333;51;96;81
Cre17.g705500.v5.5;6395;292;421;424;548;1002;658;2369,333333;3409,5;420;711,5
Cre17.g705550.v5.5;123;36;62;50;49;46;48,33333333;73,66666667;86,5;42,5;54
Cre17.g705600.v5.5;28;7;23;11;5;15;10,33333333;19,33333333;19,5;6;19
Cre17.g705650.v5.5;53;12;12;12;11;20;14,33333333;25,66666667;32,5;11,5;16
Cre17.g705700.v5.5;31;6;7;10;3;32;15;14,66666667;20,5;4,5;19,5
Cre17.g705750.v5.5;0;0;0;0;0;3;1;0;0;0;1,5
Cre17.g705778.v5.5;0;0;2;0;1;5;2;0,666666667;0;0,5;3,5
Cre17.g705806.v5.5;0;2;3;1;1;3;1,666666667;1,666666667;0,5;1,5;3
Cre17.g705836.v5.5;1;16;25;20;14;26;20;14;10,5;15;25,5
Cre17.g705843.v5.5;9;9;24;15;17;20;17,33333333;14;12;13;22
Cre17.g705850.v5.5;180;20;47;51;10;44;35;82,33333333;115,5;15;45,5
Cre17.g705900.v5.5;170;54;89;79;51;51;60,33333333;104,3333333;124,5;52,5;70
Cre17.g705950.v5.5;5;10;2;2;1;5;2,666666667;5,666666667;3,5;5,5;3,5
Cre17.g706000.v5.5;143;1;2;2;5;23;10;48,66666667;72,5;3;12,5
Cre17.g706050.v5.5;762;78;86;91;70;107;89,33333333;308,6666667;426,5;74;96,5
Cre17.g706150.v5.5;31;4;11;13;12;8;11;15,33333333;22;8;9,5
Cre17.g706200.v5.5;36;15;24;32;20;38;30;25;34;17,5;31
Cre17.g706250.v5.5;94;4;15;21;15;33;23;37,66666667;57,5;9,5;24
Cre17.g706300.v5.5;181;61;71;45;36;43;41,33333333;104,3333333;113;48,5;57
Cre17.g706350.v5.5;120;4;14;10;13;11;11,33333333;46;65;8,5;12,5
Cre17.g706400.v5.5;45;11;10;8;0;6;4,666666667;22;26,5;5,5;8
Cre17.g706450.v5.5;125;10;20;14;27;20;20,33333333;51,66666667;69,5;18,5;20
Cre17.g706500.v5.5;23;3;1;0;0;2;0,666666667;9;11,5;1,5;1,5
Cre17.g706550.v5.5;36;7;19;31;7;8;15,33333333;20,66666667;33,5;7;13,5
Cre17.g706600.v5.5;3670;3709;3816;1036;854;404;764,6666667;3731,666667;2353;2281,5;2110
Cre17.g706650.v5.5;327;24;61;52;28;64;48;137,3333333;189,5;26;62,5
Cre17.g706700.v5.5;564;225;374;703;548;809;686,6666667;387,6666667;633,5;386,5;591,5
Cre17.g706800.v5.5;163;96;142;334;244;466;348;133,6666667;248,5;170;304
Cre17.g706850.v5.5;183;105;156;130;145;264;179,6666667;148;156,5;125;210
Cre17.g706900.v5.5;478;520;530;567;335;682;528;509,3333333;522,5;427,5;606
Cre17.g706950.v5.5;515;293;534;413;341;709;487,6666667;447,3333333;464;317;621,5
Cre17.g707000.v5.5;74;11;6;30;32;48;36,66666667;30,33333333;52;21,5;27
Cre17.g707050.v5.5;163;38;66;36;28;61;41,66666667;89;99,5;33;63,5
Cre17.g707100.v5.5;624;66;204;104;62;301;155,6666667;298;364;64;252,5
Cre17.g707137.v5.5;587;545;642;163;110;87;120;591,3333333;375;327,5;364,5
Cre17.g707150.v5.5;222;172;223;100;82;92;91,33333333;205,6666667;161;127;157,5
Cre17.g707200.v5.5;702;634;1146;605;562;1017;728;827,3333333;653,5;598;1081,5
Cre17.g707250.v5.5;161;50;101;37;82;46;55;104;99;66;73,5
Cre17.g707300.v5.5;100;94;79;229;147;261;212,3333333;91;164,5;120,5;170
Cre17.g707350.v5.5;345;1860;878;542;378;285;401,6666667;1027,666667;443,5;1119;581,5
Cre17.g707400.v5.5;193;102;189;80;60;101;80,33333333;161,3333333;136,5;81;145
Cre17.g707450.v5.5;4;0;2;0;0;0;0;2;2;0;1
Cre17.g707500.v5.5;143;91;162;109;95;150;118;132;126;93;156
Cre17.g707551.v5.5;16;54;187;34;19;131;61,33333333;85,66666667;25;36,5;159
Cre17.g707600.v5.5;29;90;147;227;155;748;376,6666667;88,66666667;128;122,5;447,5
Cre17.g707650.v5.5;615;238;404;758;343;608;569,6666667;419;686,5;290,5;506
Cre17.g707700.v5.5;384;322;259;258;134;219;203,6666667;321,6666667;321;228;239
Cre17.g707750.v5.5;17;423;420;50;12;132;64,66666667;286,6666667;33,5;217,5;276
Cre17.g707800.v5.5;324;155;218;222;128;210;186,6666667;232,3333333;273;141,5;214
Cre17.g707850.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g707900.v5.5;643;348;569;344;332;597;424,3333333;520;493,5;340;583
Cre17.g707950.v5.5;174;125;182;199;108;150;152,3333333;160,3333333;186,5;116,5;166
Cre17.g708000.v5.5;4276;2119;1969;2807;1737;2003;2182,333333;2788;3541,5;1928;1986
Cre17.g708013.v5.5;4;0;1;0;1;1;0,666666667;1,666666667;2;0,5;1
Cre17.g708025.v5.5;0;0;0;0;0;0;0;0;0;0;0
Cre17.g708038.v5.5;29;15;40;23;14;57;31,33333333;28;26;14,5;48,5
Cre17.g708050.v5.5;399;185;276;249;220;286;251,6666667;286,6666667;324;202,5;281
Cre17.g708076.v5.5;0;1;2;0;0;0;0;1;0;0,5;1
Cre17.g708100.v5.5;1139;710;1303;1803;855;1975;1544,333333;1050,666667;1471;782,5;1639
Cre17.g708150.v5.5;2;0;0;0;0;0;0;0,666666667;1;0;0
Cre17.g708200.v5.5;6;0;4;2;3;5;3,333333333;3,333333333;4;1,5;4,5
Cre17.g708250.v5.5;356;205;275;193;115;150;152,6666667;278,6666667;274,5;160;212,5
